"HolderAddress","Balance","PendingBalanceUpdate"
"0x000000000000000000000000000000000000dead","384956715571390","No"
"0x548e03c19a175a66912685f71e157706fee6a04d","11670442695811.2","No"
"0x302203afd25d03d8f735c5a74ea5eff6ef20761e","54636916872165.5","No"
"0xaee49a2b3d6db4d76d9994b829f2da3bd65626ad","17589101695.8653","No"
"0x1ef24e222b56a579638462bcae113f69d4daebbd","45846347.0800368","No"
"0x35fed365b6e650ad86e1dfaf5db197b6b7357b4f","1171211276.7434","No"
"0x1b9a81880284f0b240a2b010a32d6bae61262844","871345733.29617","No"
"0x3f4ec7cb625bbdfefda4a13bb81073b5016d9c88","460110534.579172","No"
"0xab02b83ea4fa568b9a7db99eb02d1e12cf6f9a50","408277.676945082","No"
"0xc6686097758ac6e3fd5e7ffc53af067e82933b52","1569867.09001202","No"
"0x420354881bc68c227f0ff56f593b458e3a54a0c3","7396.367251533","No"
"0xaa343635366230c44c2c40bedb0235cf7703468f","8252657.33419031","No"
"0xd23d0e37ed93574105cf6a507e7894356d49c594","6309101527.85452","No"
"0xf75458de40ff65ddd888c2b9ad05c2ec4279522f","87897551.1027212","No"
"0x3c5022b4a863a320b79669b9feb32c9116a4ba22","1374188527.16182","No"
"0xf025241178baccf67f6e597b948b9438689b3105","193618.83338223","No"
"0x5f96687f7b7acc3eb0f65be58b504ffbdeac654a","473876.468632443","No"
"0xb8dc01dd7d68435644c03a83a34aa9bbe0bf5ef6","16964.6700227816","No"
"0x744999ad49421aa15d18b55ffdcc7c566c9055c0","23225404.0119686","No"
"0x2eb5017750b0d97516d4358f0df05f6c3d7186ca","0.365095893155682","No"
"0x8d7d0c3c39c13c185e0ce39c81b627782f1aa281","970918.305085414","No"
"0xfcc4b99302988d713a5e34530c7669adc60e2d31","31820509.207035","No"
"0x0d4814ecaa550cae9371e6bb41f8302ca88f5d1c","0.930998048120751","No"
"0xadf5545ef990942c0bd0fb8f24062374a0f7d6fb","331340183.233629","No"
"0x44b0cc456026903db01bbfa31a87346565301da2","65121481.1854369","No"
"0x9112ae9926a079541a1d4d51370d478acdfadc44","254.207351377496","No"
"0xb52574b5d1715c8bf28752ad05b368eae0296a15","0.00207350657172454","No"
"0x15fc57d84e57c6a69458ca7b36e4097d523a4b39","96563956.4245492","No"
"0xda4b4c4de26aed330f59429eaee6af0563579a8d","16970913.7343246","No"
"0x8fbd419411d2cd704fed45e8ff614b4767c9e096","2929024.25553978","No"
"0x3d59824bb7bb0e925b96bcf2d05a4dcc40d9e765","109930994.73102","No"
"0x4613b558fec524e4fc0fe2ccfc57bdefc8b340c9","38316.555033853","No"
"0xef1498c8e853e29986b26c7eeb86d20cb9f20be3","94868899.9856754","No"
"0xfc3db068ac4dd1f6f00c0c9842e45ab7253f460c","157433.894035403","No"
"0x2f4cb446f6a29012e3926a428f9e7a266512d4dd","5.4169637133469","No"
"0x177b99608c5f67ff87965572cbe891d52aca40db","17920513.7238368","No"
"0x0462186593b397870c2662bfcb3e500c94a82533","1335485011.82029","No"
"0x6550fc0466cf7492a3060a37ade901f268d563dc","1347694220.10659","No"
"0x2eb66c553b3e7e90124659e0ef5255fd544b51bb","196572072.507612","No"
"0x5d63c6704cca9875a6dece5bf56f948ec8bf78fb","47410897.2417827","No"
"0xc16af2557eafd7c0014d142400e408128ac0b984","1325512294266.77","No"
"0x20cba7a75772bea80fd772517323ffae13c216b2","2940.89674209665","No"
"0x0c0498fa92b4438f2c83187c91790da2e083da2b","409590.74793073","No"
"0x7eb76549212334b63204b1961e248a0068b90b52","1000084256529.56","No"
"0x530e86fe2e6fc9beedb713f7817bc38dcd71e13c","64709.6074288739","No"
"0x9529ebd829185c1f659f21e1a999b3c104db22a8","61899252.6138513","No"
"0xb827857235d4eacc540a79e9813c80e351f0dc06","156496.400958841","No"
"0xef1c85c5cb1c8e0ebdf47b0c1c33bae3966f44cc","51685466.8409732","No"
"0x324b23702f76de7a1d1e173d308c7dd79a176015","450791.058504471","No"
"0x62740096737c768d9189d95e0949c2384b7b2063","6542280.78667128","No"
"0x3d27e146d414bba6b7f8bd69c7063ea6e2700f60","1377452.78694624","No"
"0xbc91728f50159c118d7307a971283a7627397a74","699784298271.382","No"
"0x8a603cd8f83a0c42d4148a51b33dfa8778b025e4","2437079.0464878","No"
"0x79dbdcde10becb0aadbafe8e24b31c5627b11f0c","180001925646.958","No"
"0xb0b9c086eebbd3c7fee79b97f32a0fdd242815bf","2.06076809898908","No"
"0x524cee1b8d3ac600ada57eaeb0d24b256a12e9d8","41269079.5047644","No"
"0x5277f735dff6a3ee094ab03f1edca1242912b5d9","7430153.43718669","No"
"0x478fc7a1f1fcd8839d92b9aef607e62d12c2a617","246856253433.871","No"
"0x3c1dbad4c51b61cd0f7afaea644426b87d04e511","133973.760202212","No"
"0x2a2350c79a5142b3c15f23d67eeb483e7262f384","10179578.4685881","No"
"0xb02950b68f07737a51863c09f7e7ab14212525e8","36171116.8763703","No"
"0x635d5b8f55dfabca30bdcd861679ed60f77ad8a3","98400003.7277531","No"
"0xfd6e2e068338d9e7528ba41f159258ac654df41f","248478996.46184","No"
"0x55198248469f9344ea7c188b5a8eccc8fe0b5e54","395019479.782106","No"
"0xe094cc3fbd19f701e1d88ced5dcffbf7e160c53d","23054.821491281","No"
"0xad45382bb73b71e2c9005cb4df770a5bcf5d15fb","32286862.5142878","No"
"0x846d4f62893fd4cce99cbc9cf615d63386dc0ba1","2206300406.71777","No"
"0xe4a2ab664e0fcbbdb8dc9925458b64f336520e5a","79007953.8242663","No"
"0xc67166fb00605dfa4f8e7438f886b308be04bbf5","57830826.9840825","No"
"0xad252178a37ecb8e4db2633e27feb3b163846bc0","358427.829080373","No"
"0x499563415b069c31068561dec128ed22fa6cc10c","4.62109343728978","No"
"0xbd6aa8f670564a6c5e3fbba1282db99718bfb75d","4277542.8374765","No"
